"filename", "language", "TypeScript", "JSON with Comments", "JSON", "HTML", "SCSS", "Markdown", "XML", "JavaScript", "SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/edit-note/edit-note.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/edit-note/edit-note.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/edit-note/edit-note.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/edit-note/edit-note.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes-table/notes-table.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes-table/notes-table.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes-table/notes-table.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes-table/notes-table.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/notes.component.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 6, 46
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.scss", "SCSS", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 23, 114
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
